instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs10_b03_s100.A00,mcs10_b03_s100.B00,symsplit_varonly,72,59,10363165919,1000.02,1,9361615721,903.767,7148784098,7148784098,290956084
mcs10_b03_s100.A01,mcs10_b03_s100.B01,symsplit_varonly,73,57,9449535499,1000.02,1,2440688516,257.181,6349019398,6349019398,1292865621
mcs10_b03_s100.A02,mcs10_b03_s100.B02,symsplit_varonly,66,52,10009835392,1000.02,1,569789325,56.7428,7759083012,7759083012,428030961
mcs10_b03_s100.A03,mcs10_b03_s100.B03,symsplit_varonly,66,54,15413255127,1000.01,1,3299747343,155.109,12751493766,12751493766,1497685964
mcs10_b03_s100.A04,mcs10_b03_s100.B04,symsplit_varonly,71,55,9639604864,1000.01,1,351383940,28.839,6526081733,6526081733,161028124
mcs10_b03_s100.A05,mcs10_b03_s100.B05,symsplit_varonly,71,57,9554070269,1000.01,1,4190376478,418.244,6875677815,6875677815,385478654
mcs10_b03_s100.A06,mcs10_b03_s100.B06,symsplit_varonly,73,64,11915610482,1000.01,1,98192159,7.96156,7910752335,7910752335,493025366
mcs10_b03_s100.A07,mcs10_b03_s100.B07,symsplit_varonly,72,58,10251958830,1000.01,1,2062757835,191.441,7235129555,7235129555,156769366
mcs10_b03_s100.A08,mcs10_b03_s100.B08,symsplit_varonly,72,62,11048830025,1000.01,1,3041110980,269.839,7223998180,7223998180,361026370
mcs10_b03_s100.A09,mcs10_b03_s100.B09,symsplit_varonly,69,60,10078764823,1000.01,1,5082755964,504.026,7960371983,7960371983,406687292
mcs10_b03_s40.A00,mcs10_b03_s40.B00,symsplit_varonly,31,27,107633404,9.38747,0,13142700,1.12641,71837052,71837052,1071798
mcs10_b03_s40.A01,mcs10_b03_s40.B01,symsplit_varonly,31,24,22547038,1.91629,0,1284116,0.0978251,16686734,16686734,676417
mcs10_b03_s40.A02,mcs10_b03_s40.B02,symsplit_varonly,31,23,131446183,10.6797,0,99556249,7.90312,93860246,93860246,6327358
mcs10_b03_s40.A03,mcs10_b03_s40.B03,symsplit_varonly,31,24,77271388,7.02641,0,15848184,1.41474,53388764,53388764,1214786
mcs10_b03_s40.A04,mcs10_b03_s40.B04,symsplit_varonly,31,27,36973509,3.20149,0,187937,0.0138657,26426301,26426301,762399
mcs10_b03_s40.A05,mcs10_b03_s40.B05,symsplit_varonly,31,28,42932469,3.84575,0,11079795,0.970459,30306657,30306657,1054143
mcs10_b03_s40.A06,mcs10_b03_s40.B06,symsplit_varonly,31,25,68992360,5.97571,0,30761954,2.66405,48176833,48176833,1358533
mcs10_b03_s40.A07,mcs10_b03_s40.B07,symsplit_varonly,30,24,526267445,45.0161,0,6107737,0.505767,371742262,371742262,15818937
mcs10_b03_s40.A08,mcs10_b03_s40.B08,symsplit_varonly,31,27,77785231,6.22053,0,2551694,0.179481,55057242,55057242,1134829
mcs10_b03_s40.A09,mcs10_b03_s40.B09,symsplit_varonly,31,28,75528263,7.24793,0,71808,0.0064762,55651484,55651484,766338
mcs10_b03_s50.A00,mcs10_b03_s50.B00,symsplit_varonly,39,28,4479799621,435.656,0,1061395475,99.8973,3157748534,3157748534,102136648
